Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,113189,113367,113490,114390,113798,114057,113670,113812,113986,114124,114076,114289
2001,114262,114006,114617,114214,113950,113850,113969,113120,113165,112766,112724,112339
2002,112447,112635,112616,112279,112509,112388,112354,112942,113433,113425,112771,112629
2003,112746,113285,113174,113168,112991,113056,113313,113082,113208,113583,113892,114366
2004,113905,114193,114015,114087,114016,114312,114338,114716,114854,114828,115284,115501
2005,116007,115649,115765,116639,116960,117305,117278,117604,117355,117552,117580,118129
2006,118337,118667,119175,119336,119033,119615,119680,119948,120308,120609,120573,120793
2007,121159,121020,121168,120325,120902,120689,120960,120824,121232,121378,121875,121609
2008,121435,121474,121426,120708,120766,120388,120206,119534,119724,119349,118397,117096
2009,115818,114783,113607,113298,112929,112745,112406,112106,111513,110949,111211,110559
2010,110613,110778,111162,111854,112539,112608,112248,111847,111926,111723,111343,111900
2011,112248,112352,112350,112222,112263,112001,112193,112723,112544,112923,113213,113774
2012,113755,114141,115024,114371,114233,114749,114575,114736,115252,115570,115655,115791
2013,115653,115695,115808,116014,116240,116166,116201,116417,116846,116352,117078,117394
2014,117468,117734,117959,118433,118791,118229,118426,118715,119306,119787,119717,120138
2015,120452,120658,120981,120813,121514,121021,121642,122067,121760,122094,122182,122757
2016,123036,123004,123590,123214,123314,123784,124076,124594,124237,124109,124076,124126
2017,124553,124884,125626,126092,125727,126180,126113,126007,126780,126656,126588,126459
2018,126964,127544,127447,127935,128805,128859,129213,128704,129029,129240,129632,129618
2019,129622,129961,129792,129831,129938,130459,130713,130860,131281,131595,131520,131565
2020,130830,130762,128927,114276,116470,119305,120033,122424,122584,123754,124471,124871
2021,125099,125014,125821,126280,126458,126213,127514,127409,128072,128467,129479,130278
2022,131151,131783,132587,132017,132743,132558,132565,132336,132575,132179,132300,132299
2023,132577,133184,,,,,,,,,,
