Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,23233,23179,23266,22918,22793,22834,22641,22725,22839,23042,23346,23633
2001,23423,23542,23273,23115,23089,22990,22923,23146,23654,23662,23559,23860
2002,23120,23699,23667,23854,23969,24053,24052,23856,23906,23601,23755,23908
2003,24525,24038,24263,24431,24497,24777,24249,24687,24430,24404,24551,24083
2004,24501,24204,24378,24535,24778,24919,25382,24966,24654,24936,24922,24681
2005,24314,24621,24784,24549,24584,24350,24767,24851,25096,25074,24915,24674
2006,24884,24731,24542,24325,24989,24774,24477,24629,24549,24784,24958,25226
2007,24986,25016,25144,25143,24932,25435,24897,24753,24996,24680,24758,24745
2008,25067,24692,24715,25352,25063,25416,25288,25595,25327,25508,25666,26333
2009,26377,26722,27069,27279,27239,27459,27737,27509,27273,27462,27327,27479
2010,27781,27627,27558,27386,26692,26658,26991,27703,27459,27353,27561,27419
2011,26987,26872,27282,27333,27381,27469,27432,27296,27644,27474,27434,27168
2012,27834,27582,27023,27508,28054,27674,27746,27600,27810,27975,27545,27580
2013,27546,27584,27439,27584,27715,27863,28145,27896,27552,27323,27379,27418
2014,27574,27379,27620,27170,27105,28023,28028,27814,27461,27772,27696,27473
2015,27559,27389,27126,27645,27355,27778,27211,27062,27035,27251,27295,27371
2016,27517,27827,27660,27783,28008,27559,27569,27208,27538,27645,27892,27921
2017,27428,27554,27501,27202,27479,27168,27600,27518,27513,26990,27181,27316
2018,27321,27561,27869,27453,26990,26979,27032,26821,26983,27130,27038,27032
2019,26722,26904,27055,26952,27085,26734,26902,26905,27033,26878,27046,27069
2020,27537,27828,26633,19270,20838,22998,23857,24735,25046,26071,25402,24951
2021,24621,25140,25132,25015,25185,25544,25346,25730,25806,25931,25989,25657
2022,25815,25811,25908,26090,25770,25469,25852,26250,26249,26413,26115,26794
2023,27400,27089,,,,,,,,,,
